Date,BTC.D,ETH.D,SOL.D,HYPE.D,OTHERS.D,BTC.D_Change,ETH.D_Change,SOL.D_Change,BTC.D_MA7_Change,ETH.D_MA7_Change,SOL.D_MA7_Change
2024-12-26,96.42994726744351,3.353287771714307,0.0273003265129852,0.1894646343291886,0.1894646343291886,0.038423891472788796,-0.03765891207535699,0.0014668981683303162,0.026796763710748905,-0.0265030166810738,0.0023583102565167442
2024-12-27,96.3769214192533,3.4071178303320417,0.027813890757513175,0.18814685965712788,0.18814685965712788,-0.053025848190202396,0.05383005861773471,0.0005135642445279753,0.020593847438306057,-0.01571800609197549,-0.0015950643295435697
2024-12-28,96.33340498872406,3.4396593716495,0.029525571931846992,0.19741006769458985,0.19741006769458985,-0.04351643052925169,0.03254154131745812,0.0017116811743338178,-0.14309497654987524,0.1281197118386772,-0.002528618544127472
2024-12-29,96.32655561671858,3.449655831529473,0.0283713914902872,0.1954171602616584,0.1954171602616584,-0.006849372005476084,0.00999645987997333,-0.0011541804415597934,-0.13780212258131996,0.12527192332668236,-0.00014273019062710501
2024-12-30,96.28507340940948,3.488334466230706,0.028054646945655164,0.198537477414169,0.198537477414169,-0.04148220730910168,0.038678634701232895,-0.00031674454463203466,-0.018798803298892608,0.014193417799909014,-0.0009366266347180761
2024-12-31,96.34370194743408,3.4364891681005996,0.024640349388732725,0.19516853507657397,0.19516853507657397,0.05862853802460677,-0.05184529813010652,-0.003414297556922439,-0.02444832690960652,0.026115210693944846,-0.004453782935180412
2025-01-01,96.35312382786016,3.4221714622641586,0.026861162236361202,0.19784354763932688,0.19784354763932688,0.009421880426074836,-0.014317705836440986,0.002220812847628477,-0.038399548110561454,0.031224778474494563,0.0010277338917063193
2025-01-02,96.33849345243527,3.4318576307624635,0.023057838139474065,0.206591078662795,0.206591078662795,-0.01463037542488621,0.009686168498304948,-0.0038033240968871375,-0.09145381500823646,0.0785698590481565,-0.004242488373511134
2025-01-03,96.22657399712486,3.535896721351681,0.023956470555500636,0.21357281096794958,0.21357281096794958,-0.1119194553104137,0.10403909058921768,0.0008986324160265707,-0.15034742212844776,0.12877889101963946,-0.003857420202012539
2025-01-04,96.18225802880298,3.581229759142173,0.024418539714296323,0.21209367234054521,0.21209367234054521,-0.04431596832188234,0.045333037790491915,0.0004620691587956874,-0.1511469599210784,0.14157038749267326,-0.005107032217550669
2025-01-05,96.21095963468204,3.556331679380186,0.023881811361634815,0.20882687457614663,0.20882687457614663,0.028701605879064118,-0.024898079761987102,-0.0005367283526615078,-0.1155959820365382,0.10667584785071282,-0.004489580128652384
2025-01-06,96.29040812869923,3.479472473952603,0.02379754882011463,0.2063218485280633,0.2063218485280633,0.07944849401718557,-0.07685920542758318,-8.426254152018448e-05,0.005334719289749046,-0.008861992278103248,-0.004257098125540534
2025-01-07,96.41158535493666,3.3637447874147917,0.02350605520715838,0.20116380244138862,0.20116380244138862,0.12117722623743532,-0.11572768653781118,-0.00029149361295625204,0.0678834075025776,-0.07274438068580791,-0.0011342941815743468
2025-01-08,96.40280157723451,3.3739013064390386,0.022912646622076493,0.20038446970437906,0.20038446970437906,-0.00878377770214911,0.010156519024246968,-0.0005934085850818858,0.04967774937435365,-0.048270155825119954,-0.00394851561428471
2025-01-09,96.42920882192298,3.3567646367908655,0.0211084776824601,0.19291806360368755,0.19291806360368755,0.02640724468847111,-0.017136669648173175,-0.0018041689396163935,0.09071536948771097,-0.07509299397159808,-0.0019493604570139655
2025-01-10,96.45969011263358,3.3281545478306507,0.02109354723431223,0.19106179230146098,0.19106179230146098,0.03048129071059691,-0.028610088960214775,-1.4930448147869313e-05,0.23311611550872158,-0.20774217352103053,-0.0028629233211884056
2025-01-11,96.43971943792276,3.347230228480933,0.02133110274847298,0.19171923084782413,0.19171923084782413,-0.01997067471081948,0.019075680650282312,0.0002375555141607491,0.25746140911978443,-0.23399953066124013,-0.003087436965823344
2025-01-12,96.45215462776987,3.3338261883781675,0.021540026444890354,0.19247915740706842,0.19247915740706842,0.01243518984711045,-0.013404040102765524,0.0002089236964173749,0.24119499308783077,-0.22250549100201855,-0.002341784916744461
2025-01-13,96.5868775136475,3.204181870522591,0.02210030840229991,0.18684030742760974,0.18684030742760974,0.13472288587762193,-0.1296443178555764,0.0005602819574095572,0.29646938494826713,-0.27529060343001177,-0.0016972404178147195
2025-01-14,96.56473366350946,3.2247093333865946,0.022998803798885595,0.18755819930505793,0.18755819930505793,-0.022143850138036214,0.02052746286400353,0.0008984953965856836,0.1531483085727956,-0.13903545402819706,-0.0005072514082727839
2025-01-15,96.46706126316872,3.3119238213052884,0.02337536689446047,0.19763954863153818,0.19763954863153818,-0.0976724003407412,0.0872144879186938,0.0003765630955748743,0.0642596859342035,-0.06197748513375023,0.0004627202723839763
2025-01-16,96.57010483482182,3.2026579034696363,0.022757232917304582,0.20448002879123206,0.20448002879123206,0.10304357165310307,-0.1092659178356521,-0.0006181339771558873,0.14089601289883547,-0.15410673332122915,0.0016487552348444824
2025-01-17,96.56422049705665,3.211448431907727,0.021313879236445163,0.20301719179917224,0.20301719179917224,-0.005884337765166947,0.008790528438090917,-0.0014433536808594188,0.10453038442307161,-0.11670611592292346,0.00022033200213293289
2025-01-18,96.67623222856847,3.060982521308421,0.020308008821042056,0.24247724130206996,0.24247724130206996,0.11201173151181365,-0.15046591059930625,-0.0010058704154031067,0.23651279064570474,-0.286247707172512,-0.001023093927430923
2025-01-19,96.67222878103354,3.0687400835755465,0.019394811421364178,0.23963632396954143,0.23963632396954143,-0.004003447534927318,0.0077575622671255395,-0.0009131973996778786,0.22007415326366697,-0.26508610480262096,-0.0021452150235261765
2025-01-20,96.64555000869476,3.1054488708299,0.019505215809480624,0.22949590466586645,0.22949590466586645,-0.026678772338783574,0.03670878725435367,0.00011040438811644668,0.058672495047261464,-0.09873299969269089,-0.002595092592819287
2025-01-21,96.71882207322096,3.0318806899531316,0.021124098106949783,0.2281731387189539,0.2281731387189539,0.07327206452620771,-0.07356818087676853,0.001618882297469159,0.1540884097115054,-0.19282864343346295,-0.0018747056919358115
2025-01-22,96.7140389231951,3.023308504477528,0.022635903974021907,0.2400166683533439,0.2400166683533439,-0.004783150025858163,-0.008572185475603789,0.001511805867072124,0.24697766002638843,-0.28861531682776054,-0.0007394629204385619
2025-01-23,96.64379787093735,3.1000279310817342,0.02055633880244707,0.23561785917847436,0.23561785917847436,-0.07024105225775656,0.07671942660420639,-0.002079565171574836,0.0736930361155288,-0.10262997238790206,-0.0022008941148575108
2025-01-24,96.69210409362074,3.052942225978692,0.0212373085771128,0.23371637182344765,0.23371637182344765,0.048306222683393685,-0.04708570510304222,0.0006809697746657274,0.12788359656408943,-0.1585062059290352,-7.657065933236451e-05
2025-01-25,96.67952545826226,3.0627237820487196,0.02132660737286268,0.2364241523161619,0.2364241523161619,-0.012578635358480028,0.00978155607002762,8.929879574988073e-05,0.0032932296937957517,0.001741260740298678,0.001018598551820623
2025-01-26,96.7044839837032,3.04773155496313,0.020924869307045124,0.2268595920266372,0.2268595920266372,0.024958525440936796,-0.014992227085589782,-0.000401738065817555,0.032255202669659866,-0.021008528612416644,0.0015300578856809466
