Date,BTC,ETH,HYPE,SOL
2025-02-11,95747.4296875,2602.781982421875,23.49588394165039,197.98236083984375
2025-02-12,97885.859375,2736.902099609375,25.83469009399414,196.7738037109375
2025-02-13,96623.8671875,2675.902587890625,26.258150100708008,194.46095275878906
2025-02-14,97508.96875,2726.091552734375,26.258136749267578,199.9356689453125
2025-02-15,97580.3515625,2693.559814453125,25.643131256103516,194.48208618164062
2025-02-16,96175.03125,2663.31591796875,26.823030471801758,188.4864044189453
2025-02-17,95773.3828125,2743.19970703125,25.389522552490234,177.6897430419922
2025-02-18,95539.546875,2669.3388671875,23.947614669799805,169.08428955078125
2025-02-19,96635.609375,2715.77099609375,24.076152801513672,169.01080322265625
2025-02-20,98333.9375,2740.386474609375,24.466243743896484,176.04888916015625
2025-02-21,96125.546875,2659.655517578125,24.935644149780273,168.89163208007812
