Date,BTC,ETH,SOL,HYPE
2024-12-28,95163.9296875,3397.90234375,195.01353454589844,29.16713523864746
2024-12-29,93530.2265625,3349.513427734375,189.7442626953125,27.547779083251953
2024-12-30,92643.2109375,3356.392578125,191.02804565429688,26.993515014648438
2024-12-31,93429.203125,3332.53173828125,189.2644805908203,23.89495277404785
2025-01-01,94419.7578125,3353.504150390625,193.8737335205078,26.322181701660156
2025-01-02,96886.875,3451.392578125,207.7670440673828,23.189088821411133
2025-01-03,98107.4296875,3605.009765625,217.74732971191406,24.424726486206055
2025-01-04,98236.2265625,3657.706787109375,216.6229248046875,24.93999671936035
2025-01-05,98314.9609375,3634.103759765625,213.3936309814453,24.40407371520996
2025-01-06,102078.0859375,3688.611328125,218.72312927246094,25.227935791015625
2025-01-07,96922.703125,3381.577392578125,202.23025512695312,23.63067054748535
2025-01-08,95043.5234375,3326.329345703125,197.55905151367188,22.58957862854004
2025-01-09,92484.0390625,3219.4306640625,185.02528381347656,20.244874954223633
2025-01-10,94701.453125,3267.489990234375,187.5791778564453,20.709060668945312
2025-01-11,94566.59375,3282.2177734375,187.99551391601562,20.916793823242188
2025-01-12,94488.4375,3265.951171875,188.5603790283203,21.101482391357422
2025-01-13,94516.5234375,3135.499755859375,182.83535766601562,21.626585006713867
2025-01-14,96534.046875,3223.6845703125,187.49859619140625,22.99149513244629
2025-01-15,100504.4921875,3450.53759765625,205.91134643554688,24.353694915771484
2025-01-16,99756.90625,3308.34521484375,211.22784423828125,23.50821876525879
2025-01-17,104462.0390625,3474.107177734375,219.62161254882812,23.057104110717773
2025-01-18,104408.0703125,3305.78955078125,261.8697509765625,21.932174682617188
2025-01-19,101089.609375,3208.96435546875,250.58636474609375,20.28104591369629
2025-01-20,102016.6640625,3278.035400390625,242.25022888183594,20.58922576904297
2025-01-21,106146.265625,3327.40625,250.41378784179688,23.183120727539062
2025-01-22,103653.0703125,3240.224609375,257.23736572265625,24.25998306274414
2025-01-23,103960.171875,3334.714111328125,253.4552001953125,22.112546920776367
2025-01-24,104819.484375,3309.554931640625,253.36122131347656,23.02239418029785
2025-01-25,104714.6484375,3317.26953125,256.0735778808594,23.09908103942871
2025-01-26,102682.5,3236.13427734375,240.88345336914062,22.2183895111084
2025-01-27,102087.6875,3178.92041015625,235.07444763183594,23.231664657592773
2025-01-28,101332.4765625,3077.112548828125,227.20396423339844,22.302547454833984
2025-01-29,103703.2109375,3112.9990234375,227.94493103027344,23.745817184448242
2025-01-30,104735.3046875,3247.780029296875,239.0231475830078,27.424545288085938
2025-01-31,102405.0234375,3298.26513671875,231.63790893554688,26.90484619140625
2025-02-01,100655.90625,3118.32861328125,213.78501892089844,23.113807678222656
2025-02-02,97688.9765625,2868.69287109375,203.11962890625,22.381561279296875
2025-02-03,101405.421875,2884.566650390625,216.1495819091797,25.185035705566406
2025-02-04,97871.8203125,2735.05126953125,207.09197998046875,25.12031364440918
2025-02-05,96615.4453125,2787.779052734375,195.98814392089844,24.762439727783203
2025-02-06,96593.296875,2688.40087890625,189.77249145507812,23.855052947998047
2025-02-07,96529.0859375,2622.211181640625,192.20465087890625,22.836088180541992
2025-02-08,96482.453125,2632.308349609375,199.5998992919922,23.42882537841797
2025-02-09,96500.09375,2628.72119140625,200.49755859375,23.03217124938965
2025-02-10,97437.5546875,2661.166748046875,200.35635375976562,23.3095760345459
2025-02-11,95747.4296875,2602.781982421875,197.98236083984375,23.49588394165039
2025-02-12,97885.859375,2736.902099609375,196.7738037109375,25.83469009399414
2025-02-13,96623.8671875,2675.902587890625,194.46095275878906,26.258150100708008
2025-02-14,97508.96875,2726.091552734375,199.9356689453125,26.258136749267578
2025-02-15,97580.3515625,2693.559814453125,194.48208618164062,25.643131256103516
2025-02-16,96175.03125,2663.31591796875,188.4864044189453,26.823030471801758
2025-02-17,95773.3828125,2743.19970703125,177.6897430419922,25.389522552490234
2025-02-18,95539.546875,2669.3388671875,169.08428955078125,23.947614669799805
2025-02-19,96635.609375,2715.77099609375,169.01080322265625,24.076152801513672
2025-02-20,98333.9375,2740.386474609375,176.04888916015625,24.466243743896484
2025-02-21,96125.546875,2659.655517578125,168.89163208007812,24.935644149780273
2025-02-22,96577.7578125,2764.029296875,172.16285705566406,24.829498291015625
2025-02-23,96273.921875,2821.310302734375,168.03811645507812,23.20899772644043
2025-02-24,91418.171875,2513.8212890625,141.98948669433594,19.927766799926758
2025-02-25,88736.171875,2493.592529296875,144.10775756835938,20.264501571655273
2025-02-26,84347.0234375,2331.45263671875,134.83132934570312,19.520601272583008
2025-02-27,84704.2265625,2305.484375,137.6208038330078,20.883678436279297
2025-02-28,84373.0078125,2237.9052734375,148.03001403808594,20.02018928527832
2025-03-01,86031.9140625,2216.643310546875,143.6757049560547,19.615234375
2025-03-02,94248.3515625,2519.694580078125,178.49549865722656,20.46027374267578
2025-03-03,86065.671875,2145.573974609375,142.02108764648438,17.865930557250977
2025-03-04,87222.1953125,2170.01513671875,144.9165802001953,17.1688175201416
2025-03-05,90623.5625,2241.977294921875,146.26730346679688,17.16761589050293
2025-03-06,89961.7265625,2202.476806640625,143.355224609375,15.363432884216309
