Date,ETH,SOL,HYPE
2023-01-27,1598.156494140625,24.40785789489746,
2023-01-28,1572.43505859375,23.981801986694336,
2023-01-29,1646.1556396484375,26.132387161254883,
2023-01-30,1567.3265380859375,23.946321487426758,
2023-01-31,1586.535400390625,23.952547073364258,
2023-02-01,1641.792724609375,24.993358612060547,
2023-02-02,1643.2415771484375,24.265058517456055,
2023-02-03,1664.74560546875,24.680896759033203,
2023-02-04,1667.0592041015625,24.317745208740234,
2023-02-05,1631.6458740234375,23.493438720703125,
2023-02-06,1616.2470703125,22.706388473510742,
2023-02-07,1672.0035400390625,23.861356735229492,
2023-02-08,1650.716796875,23.192670822143555,
2023-02-09,1546.438232421875,20.45212745666504,
2023-02-10,1514.869140625,20.130109786987305,
2023-02-11,1539.9267578125,20.830095291137695,
2023-02-12,1515.03369140625,21.489978790283203,
